id,I�O,zau-pf-kpf,si-ida,si-n,si-psc,zuj-zuj-kod-orig,zuj-nzuj,zuj-nuts4,zuj-nazev-nuts4,su-isk,su-ise,su-kpp,si-nu,si-nco,su-esa2010t,su-esa2010,si-tcd,si-cd,si-co,si-at,od,do,edited_by,lchange
1748777,61388947,331,339094071,Brandýs nad Labem-Stará Boleslav,25001,538094,Brandýs nad Labem-Stará Boleslav,CZ0209,Praha-východ,,,25 - 49 zaměstnanců,Zápská,Brandýs nad Labem,Místní vládní instituce,13130,1,302,8,,1568401189,0,,13/09/2019 20:59
1748776,61389480,331,338204374,Odolena Voda,25070,538574,Odolena Voda,CZ0209,Praha-východ,,,50 - 99 zaměstnanců,U Letiště,Dolínek,Místní vládní instituce,13130,1,370,,,1568401188,0,,13/09/2019 20:59
1748775,61515477,331,337914790,Duchcov,41901,567515,Duchcov,CZ0426,Teplice,,,25 - 49 zaměstnanců,Masarykova,,Místní vládní instituce,13130,1,909,12,,1568401188,0,,13/09/2019 20:59
1748774,61515779,331,337914793,Teplice,41501,567442,Teplice,CZ0426,Teplice,,,50 - 99 zaměstnanců,Českobratrská,,Místní vládní instituce,13130,1,862,15,,1568401188,0,,13/09/2019 20:59
1748773,61664537,331,337914994,Vlašim,25801,530883,Vlašim,CZ0201,Benešov,,,25 - 49 zaměstnanců,V Sadě,,Místní vládní instituce,13130,1,1565,,,1568401188,0,,13/09/2019 20:59
1748772,61664553,331,338172875,Vlašim,25801,530883,Vlašim,CZ0201,Benešov,,,50 - 99 zaměstnanců,Komenského,,Místní vládní instituce,13130,1,41,,,1568401188,0,,13/09/2019 20:59
1748771,61664651,331,338026518,Benešov,25601,529303,Benešov,CZ0201,Benešov,,,100 - 199 zaměstnanců,Mendelova,,Místní vládní instituce,13130,1,131,,,1568401188,0,,13/09/2019 20:59
1748770,61664715,331,338091631,Benešov,25601,529303,Benešov,CZ0201,Benešov,,,25 - 49 zaměstnanců,Černoleská,,Místní vládní instituce,13130,1,1997,,,1568401188,0,,13/09/2019 20:59
1748769,61715999,331,338170188,Luhačovice,76326,585459,Luhačovice,CZ0724,Zlín,,,50 - 99 zaměstnanců,Masarykova,,Místní vládní instituce,13130,1,101,,,1568401188,0,,13/09/2019 20:59
1748768,61750883,331,338124282,Klatovy,33901,555771,Klatovy,CZ0322,Klatovy,,,50 - 99 zaměstnanců,nábř. Kpt. Nálepky,Klatovy III,Místní vládní instituce,13130,1,362,,,1568401188,0,,13/09/2019 20:59
1748767,61781771,331,338059009,Klatovy,33901,555771,Klatovy,CZ0322,Klatovy,,,50 - 99 zaměstnanců,Plánická,Klatovy I,Místní vládní instituce,13130,1,196,,,1568401188,0,,13/09/2019 20:59
1748766,61781797,331,339709877,Klatovy,33901,555771,Klatovy,CZ0322,Klatovy,,,50 - 99 zaměstnanců,Národních mučedníků,Klatovy IV,Místní vládní instituce,13130,1,141,,,1568401188,0,,13/09/2019 20:59
1748765,61894354,331,337915423,Slaný,27401,532819,Slaný,CZ0203,Kladno,,,25 - 49 zaměstnanců,Smetanovo náměstí,,Místní vládní instituce,13130,1,1200,1,,1568401188,0,,13/09/2019 20:59
1748764,61894371,331,338026613,Kladno,27201,532053,Kladno,CZ0203,Kladno,,,50 - 99 zaměstnanců,Cyrila Boudy,,Místní vládní instituce,13130,1,2954,,,1568401188,0,,13/09/2019 20:59
1748763,61894419,331,337915424,Kladno,27201,532053,Kladno,CZ0203,Kladno,,,50 - 99 zaměstnanců,Jana Palacha,,Místní vládní instituce,13130,1,1840,,,1568401188,0,,13/09/2019 20:59
1748762,61924008,331,339709902,Čáslav,28601,534005,Čáslav,CZ0205,Kutná Hora,,,25 - 49 zaměstnanců,Přemysla Otakara II.,Čáslav-Nové Město,Místní vládní instituce,13130,1,938,18,,1568401188,0,,13/09/2019 20:59
1748761,61924059,331,338091735,Kutná Hora,28401,533955,Kutná Hora,CZ0205,Kutná Hora,,,50 - 99 zaměstnanců,Masarykova,Hlouška,Místní vládní instituce,13130,1,197,1,,1568401188,0,,13/09/2019 20:59
1671301,61944084,112,339674652,Třinec,73961,598810,Třinec,CZ0802,Frýdek-Místek,,,10 - 19 zaměstnanců,Beskydská,Lyžbice,Nefinanční podniky soukromé národní,11002,1,1140,,,1568380131,0,,13/09/2019 15:08
1748760,61985759,331,339709921,Přerov,75002,511382,Přerov,CZ0714,Přerov,,,50 - 99 zaměstnanců,Denisova,Přerov I-Město,Místní vládní instituce,13130,1,2390,3,,1568401187,0,,13/09/2019 20:59
1748759,61985996,331,338059089,Přerov,75002,511382,Přerov,CZ0714,Přerov,,,25 - 49 zaměstnanců,Bartošova,Přerov I-Město,Místní vládní instituce,13130,1,1940,24,,1568401187,0,,13/09/2019 20:59
